ref_area,indicator,source,classif1,time,obs_value,note_source
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP03,2015,-2.85,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP04,2015,3.8,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP05,2015,0.09,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP06,2015,0.69,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP07,2015,-6.8,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP08,2015,2.43,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP09,2015,0.64,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP10,2015,0.41,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP11,2015,3.61,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP12,2015,1.6,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01T12,2016,-0.93,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01,2016,-0.21,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP02,2016,2.22,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP03,2016,0.83,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP04,2016,-2.51,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP05,2016,-0.21,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP06,2016,1.15,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP07,2016,-2.15,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP08,2016,0.43,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP09,2016,0.33,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP10,2016,1.78,R1:3139
